Geography,Total_Satisfied,Total_Neutral,Total_Dissatisfied,Men_Satisfied,Men_Neutral,Men_Dissatisfied,Women_Satisfied,Women_Neutral,Women_Dissatisfied
Atlantic Region,75.6,15.3,9.1,75.6,13.7,10.7,75.6,17.3,7.2
Newfoundland and Labrador,75.1,16.3,8.6,72.9,15.9,11.2,77.6,16.9,5.6
Prince Edward Island,78.3,12.9,8.8,76.7,14.6,8.7,80,11.1,8.9
Nova Scotia,73.9,16.4,9.7,77.4,11.7,10.9,69.9,21.8,8.2
New Brunswick,77.4,13.9,8.7,74.8,14.6,10.5,80.5,13,6.5
Quebec,79.7,13.1,7.2,80.7,11.9,7.5,78.4,14.8,6.9
Ontario,70.3,19.4,10.3,70.1,19.5,10.4,70.6,19.2,10.2
Prairies Region,69.8,21.9,8.3,70.9,20.6,8.5,68.4,23.5,8.1
Manitoba,65.2,26.1,8.7,72.4,19.2,8.3,56.1,34.8,9.2
Saskatchewan,66.8,24.1,9.1,74.1,19,6.9,58.6,29.9,11.5
Alberta,71.7,20.2,8.1,69.7,21.3,9,74.1,18.9,7
British Columbia,67.8,21.9,10.2,69.9,20.9,9.2,65.1,23.4,11.6
